    tt    m             px                      py                      pz                      vx                      vy                      vz
 -4700.0  1   3.8516311032789513e-03  2.0153832489877188e-03  1.0523990539873581e-03 -4.1027414436422263e-03  6.1661925644628341e-03  2.9164625175526772e-03
 -4700.0  2  -2.7613295803126138e-03 -5.9370378926299596e-03 -2.8545330017899239e-03  5.8051036438615386e-03 -2.2230054783702060e-03 -9.8941965128873373e-04
 -4700.0  3  -1.0418634550799872e-02 -6.4193338976287293e-03 -3.1897512779048153e-03  2.6948191924072618e-03 -3.5116036801439293e-03 -1.6264770454870196e-03
 -4600.0  0   2.4313866227015108e-03 -1.3132586677448552e-03 -5.8731955788361126e-04  5.1173551486796871e-03  7.7171520465002920e-03  3.7558833220501762e-03
 -4600.0  1   2.2337324469241583e-06  4.0176627374485969e-03  1.9502983846233241e-03 -7.9699387883252638e-03  1.2411754451641550e-04 -9.6025617424264699e-05
 -4600.0  2  -3.6723208929275533e-03 -5.5161905672517211e-03 -2.6651836060502228e-03  5.3982071596952331e-03 -2.9481797856287105e-03 -1.3391777361825357e-03
 -4600.0  3  -1.0767020229164009e-02 -5.9406772932232019e-03 -2.9674873505978559e-03  2.4965750675471033e-03 -3.6269981718672580e-03 -1.6838019089618322e-03
 -4500.0  0  -2.6051456877583699e-03  9.6287842892568145e-04  4.1807167055609226e-04 -3.7688000341987559e-03 -8.3889510464909643e-03 -4.0552506296891366e-03
 -4500.0  1  -3.7680924852263745e-03  2.2883791771757364e-03  1.0347457261424896e-03 -4.3452398162205893e-03 -5.8604451519626783e-03 -2.9299718294343146e-03
 -4500.0  2  -4.5153081229977335e-03 -4.9827118173322339e-03 -2.4214943567429856e-03  4.8748411797072937e-03 -3.6137610019732580e-03 -1.6619055713678686e-03
 -4500.0  3  -1.1088718966720292e-02 -5.4469238198838164e-03 -2.7378034091827780e-03  2.2914589882343573e-03 -3.7346330596573036e-03 -1.7375028556621038e-03
 -4400.0  0   2.7361703164461974e-03 -6.1705671340730962e-04 -2.5161609095712928e-04  2.3290591738624063e-03  8.7876739332698166e-03  4.2235985704050533e-03
 -4400.0  1  -4.0887654997376439e-03 -1.5518908098429663e-03 -8.3615844918925452e-04  3.2068944560946122e-03 -6.6159507331853187e-03 -3.1421512283978398e-03
 -4400.0  2  -5.2712293894503787e-03 -4.3405133224677424e-03 -2.1249557880860278e-03  4.2497844532240975e-03 -4.2036221351157421e-03 -1.9498331535687302e-03
