*******************************************************************************
Ephemeris / WWW_USER Sun Apr 28 18:33:45 2019 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Pluto (999)                     {source: plu055l_merged}
Center body name: Earth (399)                     {source: plu055l_merged}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2010-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2030-Jan-01 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_PLUTO                       {East-longitude positive}
Target radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: plu055l_merged}
Rel. light bend : Sun, EARTH                      {source: plu055l_merged}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: YES (Earth refraction model)
RA format       : DEG
Time format     : CAL 
EOP file        : eop.190426.p190718                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2019-APR-26. PREDICTS-> 2019-JUL-17
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
******************************************************************************************************
 2010-Mar-08 00:00      14.11   8.91  31.79723508570   0.9131367 32.0866059554532 -27.2277412   1.7022
 2010-Mar-10 00:00      14.11   8.91  31.79829679511   0.9147805 32.0549855185832 -27.5262700   1.7210
 2010-Mar-12 00:00      14.11   8.91  31.79933580628   0.8875293 32.0230161667182 -27.8181474   1.7378
 2010-Mar-14 00:00      14.11   8.91  31.80036820764   0.9073928 31.9907543426589 -28.0289093   1.7526
 2010-Mar-16 00:00      14.11   8.91  31.80142891367   0.9197098 31.9582743185511 -28.2121548   1.7653
 2010-Mar-18 00:00      14.11   8.91  31.80247484735   0.8907622 31.9255755435730 -28.3985824   1.7760
 2010-Mar-20 00:00      14.10   8.91  31.80350440963   0.9012695 31.8926997478898 -28.5092868   1.7846
 2010-Mar-22 00:00      14.10   8.91  31.80456190365   0.9225178 31.8597321252550 -28.5738715   1.7911
 2010-Mar-24 00:00      14.10   8.91  31.80561467369   0.8960228 31.8266822043857 -28.6487442   1.7956
 2010-Mar-26 00:00      14.10   8.91  31.80664367784   0.8957066 31.7935732627569 -28.6625441   1.7979
 2010-Mar-28 00:00      14.10   8.91  31.80769628988   0.9228757 31.7604906976064 -28.6171665   1.7982
 2010-Mar-30 00:00      14.09   8.91  31.80875491561   0.9026281 31.7274541036730 -28.5861692   1.7963
 2010-Apr-01 00:00      14.09   8.91  31.80978579926   0.8915636 31.6944678601899 -28.5137537   1.7924
 2010-Apr-03 00:00      14.09   8.91  31.81083263389   0.9208025 31.6616115779538 -28.3704307   1.7864
 2010-Apr-05 00:00      14.09   8.91  31.81189537870   0.9097017 31.6289221708237 -28.2335169   1.7783
 2010-Apr-07 00:00      14.08   8.91  31.81293038609   0.8894951 31.5963965919137 -28.0703327   1.7681
 2010-Apr-09 00:00      14.08   8.91  31.81397144637   0.9166609 31.5641082185409 -27.8264635   1.7558
 2010-Apr-11 00:00      14.08   8.91  31.81503606371   0.9163003 31.5321136868058 -27.5749306   1.7414
 2010-Apr-13 00:00      14.08   8.91  31.81607692506   0.8898604 31.5004077475457 -27.3126534   1.7250
 2010-Apr-15 00:00      14.07   8.91  31.81711311188   0.9111083 31.4690506300898 -26.9684576   1.7065
 2010-Apr-17 00:00      14.07   8.91  31.81817716724   0.9215509 31.4381140896506 -26.6005939   1.6860
 2010-Apr-19 00:00      14.07   8.91  31.81922485467   0.8926737 31.4075947394865 -26.2364400   1.6635
