 2010-Jun-10 00:00       1.13   7.12  9.523359540328   0.5225476 9.31379527486549  28.4415651   6.0433
 2010-Jun-12 00:00       1.13   7.12  9.523963654640   0.5235295 9.34672832594240  28.5749163   6.0722
 2010-Jun-14 00:00       1.14   7.12  9.524568686033   0.5240519 9.37979581029229  28.6741849   6.0943
 2010-Jun-16 00:00       1.15   7.12  9.525174027873   0.5239994 9.41295823745179  28.7393274   6.1099
 2010-Jun-18 00:00       1.16   7.12  9.525778738954   0.5230794 9.44617646273690  28.7711848   6.1188
 2010-Jun-20 00:00       1.17   7.12  9.526382254014   0.5220781 9.47941347963995  28.7723272   6.1211
 2010-Jun-22 00:00       1.18   7.12  9.526984852917   0.5214771 9.51263522696179  28.7450051   6.1171
 2010-Jun-24 00:00       1.18   7.12  9.527587200329   0.5217252 9.54580989954177  28.6910816   6.1067
 2010-Jun-26 00:00       1.19   7.12  9.528190191134   0.5225123 9.57890721361752  28.6110863   6.0900
 2010-Jun-28 00:00       1.20   7.12  9.528794168662   0.5233851 9.61189703748234  28.5049503   6.0672
 2010-Jun-30 00:00       1.20   7.12  9.529399128481   0.5240173 9.64474909542277  28.3723320   6.0383
 2010-Jul-02 00:00       1.21   7.12  9.530004313909   0.5238092 9.67743224983369  28.2125093   6.0034
 2010-Jul-04 00:00       1.21   7.12  9.530608863447   0.5229794 9.70991507642821  28.0255022   5.9626
 2010-Jul-06 00:00       1.22   7.11  9.531212239362   0.5218359 9.74216620581209  27.8113500   5.9159
 2010-Jul-08 00:00       1.22   7.11  9.531814630892   0.5213634 9.77415461251271  27.5705974   5.8635
 2010-Jul-10 00:00       1.23   7.11  9.532416860056   0.5215540 9.80584925536525  27.3026125   5.8054
 2010-Jul-12 00:00       1.23   7.11  9.533019635456   0.5223282 9.83721833091808  27.0068910   5.7418
 2010-Jul-14 00:00       1.24   7.10  9.533623509347   0.5232484 9.86822977138640  26.6833424   5.6727
 2010-Jul-16 00:00       1.24   7.10  9.534228244561   0.5238146 9.89885183733306  26.3330427   5.5984
 2010-Jul-18 00:00       1.24   7.10  9.534833260406   0.5237011 9.92905469900005  25.9578499   5.5188
 2010-Jul-20 00:00       1.25   7.09  9.535437591217   0.5227101 9.95881062952031  25.5595840   5.4342
 2010-Jul-22 00:00       1.25   7.09  9.536040747176   0.5217347 9.98809436961183  25.1405126   5.3447
 2010-Jul-24 00:00       1.25   7.09  9.536642952449   0.5211674 10.0168825910834  24.7018121   5.2504
 2010-Jul-26 00:00       1.25   7.08  9.537244939364   0.5214375 10.0451531161770  24.2442552   5.1514
 2010-Jul-28 00:00       1.25   7.08  9.537847586565   0.5221529 10.0728841111374  23.7674856   5.0479
 2010-Jul-30 00:00       1.26   7.07  9.538451219525   0.5230931 10.1000531660144  23.2712058   4.9400
 2010-Aug-01 00:00       1.26   7.07  9.539055806060   0.5236911 10.1266373563018  22.7546806   4.8278
 2010-Aug-03 00:00       1.26   7.06  9.539660571020   0.5234384 10.1526128216288  22.2172385   4.7113
 2010-Aug-05 00:00       1.26   7.06  9.540264710205   0.5225524 10.1779554317852  21.6588124   4.5908
 2010-Aug-07 00:00       1.26   7.05  9.540867631231   0.5214651 10.2026408812776  21.0794683   4.4664
 2010-Aug-09 00:00       1.26   7.05  9.541469598677   0.5210262 10.2266453219018  20.4798004   4.3381
 2010-Aug-11 00:00       1.26   7.04  9.542071415567   0.5211667 10.2499455149147  19.8602598   4.2061
 2010-Aug-13 00:00       1.26   7.04  9.542673826375   0.5219830 10.2725194866665  19.2226856   4.0705
 2010-Aug-15 00:00       1.25   7.03  9.543277313767   0.5229076 10.2943474656134  18.5688770   3.9316
 2010-Aug-17 00:00       1.25   7.02  9.543881638433   0.5234701 10.3154115665187  17.9003777   3.7894
 2010-Aug-19 00:00       1.25   7.02  9.544486240139   0.5232515 10.3356954547452  17.2179973   3.6442
 2010-Aug-21 00:00       1.25   7.01  9.545090113502   0.5222950 10.3551834392504  16.5224768   3.4959
 2010-Aug-23 00:00       1.25   7.01  9.545692812053   0.5213473 10.3738609686060  15.8148937   3.3449
 2010-Aug-25 00:00       1.24   7.00  9.546294550871   0.5207696 10.3917143888931  15.0957163   3.1912
 2010-Aug-27 00:00       1.24   6.99  9.546896139708   0.5210404 10.4087306698631  14.3653593   3.0349
 2010-Aug-29 00:00       1.24   6.98  9.547498378139   0.5217890 10.4248966359206  13.6233035   2.8763
 2010-Aug-31 00:00       1.23   6.98  9.548101600691   0.5227637 10.4401984562304  12.8691142   2.7153
 2010-Sep-02 00:00       1.23   6.97  9.548705760906   0.5232632 10.4546216700218  12.1018529   2.5522
 2010-Sep-04 00:00       1.22   6.96  9.549310076840   0.5230010 10.4681508172778  11.3210181   2.3871
 2010-Sep-06 00:00       1.22   6.96  9.549913734864   0.5221184 10.4807702413640  10.5267452   2.2201
 2010-Sep-08 00:00       1.21   6.95  9.550516133793   0.5210442 10.4924648675132   9.7202166   2.0515
 2010-Sep-10 00:00       1.21   6.94  9.551117632956   0.5205695 10.5032220974305   8.9040932   1.8814
 2010-Sep-12 00:00       1.20   6.93  9.551718984540   0.5207380 10.5130323416726   8.0809110   1.7100
 2010-Sep-14 00:00       1.20   6.93  9.552320948140   0.5216112 10.5218887221048   7.2527646   1.5376
 2010-Sep-16 00:00       1.19   6.92  9.552923961697   0.5224739 10.5297858677699   6.4200913   1.3645
 2010-Sep-18 00:00       1.19   6.91  9.553527817682   0.5229960 10.5367187199471   5.5831258   1.1910
 2010-Sep-20 00:00       1.18   6.90  9.554131909626   0.5227506 10.5426822970352   4.7417423   1.0175
 2010-Sep-22 00:00       1.17   6.90  9.554735210177   0.5218172 10.5476714705321   3.8961996   0.8448
 2010-Sep-24 00:00       1.17   6.89  9.555337342627   0.5208113 10.5516818899087   3.0471529   0.6744
 2010-Sep-26 00:00       1.16   6.88  9.555938519491   0.5202389 10.5547097679601   2.1950276   0.5092
 2010-Sep-28 00:00       1.15   6.88  9.556539578511   0.5205721 10.5567517995604   1.3401388   0.3574
 2010-Sep-30 00:00       1.15   6.87  9.557141253752   0.5213117 10.5578043892041   0.4818384   0.2463
 2010-Oct-02 00:00       1.15   6.87  9.557743937697   0.5222458 10.5578634783139  -0.3801263   0.2415
 2010-Oct-04 00:00       1.16   6.88  9.558347527292   0.5226933 10.5569246237931  -1.2461512   0.3475
 2010-Oct-06 00:00       1.16   6.88  9.558951220591   0.5224669 10.5549833834574  -2.1154244   0.4978
 2010-Oct-08 00:00       1.17   6.89  9.559554210435   0.5215124 10.5520370370919  -2.9860074   0.6626
 2010-Oct-10 00:00       1.18   6.90  9.560155929881   0.5204165 10.5480858060518  -3.8547769   0.8330
 2010-Oct-12 00:00       1.18   6.91  9.560756781800   0.5199713 10.5431336435016  -4.7188435   1.0057
 2010-Oct-14 00:00       1.19   6.91  9.561357457778   0.5201845 10.5371866879186  -5.5770174   1.1793
 2010-Oct-16 00:00       1.19   6.92  9.561958780154   0.5210304 10.5302521658214  -6.4287710   1.3529
 2010-Oct-18 00:00       1.20   6.93  9.562561135345   0.5218282 10.5223373422865  -7.2744720   1.5260
 2010-Oct-20 00:00       1.21   6.94  9.563164321530   0.5223913 10.5134491979057  -8.1140810   1.6984
 2010-Oct-22 00:00       1.21   6.94  9.563767671879   0.5220854 10.5035944630834  -8.9481042   1.8696
 2010-Oct-24 00:00       1.22   6.95  9.564370205620   0.5211170 10.4927796096586  -9.7763666   2.0396
 2010-Oct-26 00:00       1.22   6.96  9.564971579312   0.5200769 10.4810116464615 -10.5983997   2.2081
 2010-Oct-28 00:00       1.23   6.97  9.565571981624   0.5195934 10.4682979736511 -11.4136654   2.3749
 2010-Oct-30 00:00       1.23   6.97  9.566172296688   0.5199202 10.4546467201859 -12.2217270   2.5398
 2010-Nov-01 00:00       1.24   6.98  9.566773225024   0.5206177 10.4400662911079 -13.0223796   2.7027
